chunk,accuracy,precision,recall,f1
128,0.976,1.0,0.76,0.8636363636363636
129,0.964,0.975609756097561,0.7017543859649122,0.8163265306122449
130,0.962,1.0,0.5476190476190477,0.7076923076923077
131,0.956,0.9565217391304348,0.5116279069767442,0.6666666666666666
132,0.972,0.9459459459459459,0.7446808510638298,0.8333333333333334
133,0.968,0.975609756097561,0.7272727272727273,0.8333333333333334
134,0.974,0.9393939393939394,0.7380952380952381,0.8266666666666667
135,0.96,0.84,0.5675675675675675,0.6774193548387096
136,0.974,0.967741935483871,0.7142857142857143,0.821917808219178
137,0.968,1.0,0.7333333333333333,0.8461538461538461
138,0.968,0.9333333333333333,0.6666666666666666,0.7777777777777778
139,0.97,0.975,0.7358490566037735,0.8387096774193549
140,0.984,0.9361702127659575,0.8979591836734694,0.9166666666666666
141,0.97,0.926829268292683,0.76,0.8351648351648352
142,0.966,0.7948717948717948,0.775,0.7848101265822784
143,0.962,0.8571428571428571,0.6153846153846154,0.7164179104477612
144,0.962,1.0,0.6415094339622641,0.7816091954022989
145,0.96,0.9696969696969697,0.6274509803921569,0.7619047619047619
146,0.966,1.0,0.66,0.7951807228915663
147,0.976,0.9795918367346939,0.8135593220338984,0.8888888888888888
148,0.96,0.9565217391304348,0.5365853658536586,0.6875
149,0.958,0.96,0.5454545454545454,0.6956521739130435
150,0.972,1.0,0.65,0.7878787878787878
151,0.948,0.972972972972973,0.5901639344262295,0.7346938775510204
152,0.96,0.9310344827586207,0.6,0.7297297297297297
153,0.97,1.0,0.7222222222222222,0.8387096774193549
154,0.962,1.0,0.6779661016949152,0.8080808080808081
155,0.954,0.926829268292683,0.6551724137931034,0.7676767676767676
156,0.954,0.896551724137931,0.5652173913043478,0.6933333333333334
157,0.97,1.0,0.6511627906976745,0.7887323943661971
158,0.962,1.0,0.5476190476190477,0.7076923076923077
159,0.97,0.9423076923076923,0.8032786885245902,0.8672566371681416
160,0.97,0.9714285714285714,0.7083333333333334,0.8192771084337349
161,0.968,0.9545454545454546,0.75,0.84
162,0.944,0.875,0.5384615384615384,0.6666666666666666
163,0.968,1.0,0.6444444444444445,0.7837837837837838
164,0.958,0.96875,0.6078431372549019,0.7469879518072289
165,0.968,1.0,0.673469387755102,0.8048780487804879
166,0.968,1.0,0.673469387755102,0.8048780487804879
167,0.97,0.9615384615384616,0.6410256410256411,0.7692307692307693
168,0.954,0.896551724137931,0.5652173913043478,0.6933333333333334
169,0.964,0.9655172413793104,0.6222222222222222,0.7567567567567568
170,0.972,1.0,0.6818181818181818,0.8108108108108109
171,0.97,1.0,0.7115384615384616,0.8314606741573034
172,0.964,0.8918918918918919,0.7021276595744681,0.7857142857142857
173,0.972,1.0,0.7666666666666667,0.8679245283018868
174,0.972,0.9259259259259259,0.8333333333333334,0.8771929824561403
175,0.976,0.9736842105263158,0.7708333333333334,0.8604651162790697
176,0.906,0.9489795918367347,0.6888888888888889,0.7982832618025751
177,0.888,0.8533333333333334,0.7901234567901234,0.8205128205128205
178,0.902,0.8604651162790697,0.8554913294797688,0.8579710144927536
179,0.908,0.9571428571428572,0.7701149425287356,0.8535031847133758
180,0.918,0.9921259842519685,0.7590361445783133,0.8600682593856656
181,0.904,0.9859154929577465,0.7526881720430108,0.8536585365853658
182,0.92,0.9320987654320988,0.8388888888888889,0.8830409356725146
183,0.896,0.9112426035502958,0.806282722513089,0.8555555555555555
184,0.902,0.9125,0.8066298342541437,0.8563049853372434
185,0.888,0.8071065989847716,0.8983050847457628,0.8502673796791443
